,M1_R1,M1_R2,M1_R3,M1_R4,M2a_R1,M2a_R2,M2a_R3,M2a_R4,M2c_R1,M2c_R2,M2c_R3,M2c_R4,Majority protein IDs,UniProt ID,Entry Name,M1_Group,M2a_Group_1,M2c_Group_2,M1vsM2a_log2FC,M1vsM2c_log2FC,M2avsM2c_log2FC,M1vsM2a_p,M1vsM2c_p,M2avsM2c_p,M1vsM2a_FDR,M1vsM2c_FDR,M2avsM2c_FDR
1026,0.832129083,0.555960026,-0.538089779,-1.159876105,0.470114494,0.588813727,0.600898374,0.974110653,0.397320168,0.240398691,0.077166693,0.600852641,sp|P31939|PUR9_HUMAN,P31939,PUR9,4,4,4,-0.735953505,-0.406403742,0.329549764,0.129028842,0.383342997,0.117943697,0.275414758,0.53931859,0.406939497
1027,1.373614292,1.781765527,1.171333449,0.124457911,-3.442660299,-4.081422623,-1.923144951,-3.950699783,-2.337894451,-3.46084359,-2.91285906,-4.330246004,sp|P31941|ABC3A_HUMAN,P31941,ABC3A,4,0,0,4.462274709,4.373253571,-0.089021138,1.03E-05,4.84E-06,0.879635292,0.0007171,0.000323377,0.953738733
1028,0.661353819,0.648649762,1.039797735,-0.353617689,1.017307265,0.039737085,0.343915319,0.458285455,0.167209264,-1.102271096,-0.446319778,0.698506844,sp|P31942|HNRH3_HUMAN,P31942,HNRH3,4,4,3,0.034234625,0.669764598,0.635529973,0.927552086,0.169594899,0.146466033,0.955318168,0.312151628,0.443739724
1029,2.459335496,2.245582997,2.471233949,1.687237634,1.349279354,1.669962858,2.318941832,2.097461322,1.358689974,0.702237277,1.029160043,1.850334455,sp|P31943|HNRH1_HUMAN,P31943,HNRH1,4,4,4,0.356936178,0.980742082,0.623805904,0.29370415,0.016619552,0.076778605,0.468605106,0.063464773,0.340313331
1030,3.513697458,3.236921254,1.917499541,1.48112375,3.584676068,3.952113134,3.207232273,3.305230847,3.739961835,3.79969106,3.491486894,3.574046868,sp|P31946|1433B_HUMAN,P31946,1433B,4,4,4,-0.97500258,-1.113986163,-0.138983584,0.067319608,0.035727748,0.515642598,0.17627641,0.105393823,0.767719806
1031,2.423163091,2.269841441,1.402041551,0.643666194,2.127855483,2.444838754,2.597817116,2.551429882,2.173697093,1.810331854,1.776909446,2.405876316,sp|P31948|STIP1_HUMAN,P31948,STIP1,4,4,4,-0.74580724,-0.357025608,0.388781631,0.098945784,0.415608703,0.095120228,0.229530441,0.571071666,0.373073128
1032,5.232925925,4.744447529,3.407473894,2.896264395,5.182408277,5.085948261,4.912175141,4.765703326,5.069887008,3.9574176,4.223175056,5.156128874,sp|P31949|S10AB_HUMAN,P31949,S10AB,4,4,4,-0.916280816,-0.531374199,0.384906617,0.096262749,0.352040489,0.233094594,0.225413109,0.511902,0.532649724
1033,-0.220599053,0.029970652,-1.857070507,0.087061408,0.052746934,0.236407622,-1.0632677,-0.423347652,-0.305392978,0.233661351,-1.343700048,-0.563489879,sp|P32119|PRDX2_HUMAN,P32119,PRDX2,3,4,4,-0.190794176,0.004571014,0.195365189,0.704282234,0.992921743,0.634386418,0.820378138,0.995618053,0.833253005
1034,0.12367104,-0.187352437,-0.374114723,-0.291328228,0.001584045,0.148830833,-0.001395255,0.471018482,-0.003658707,-0.386039961,0.403917843,0.384898874,sp|P32121|ARRB2_HUMAN,P32121,ARRB2,4,4,4,-0.337290613,-0.282060599,0.055230014,0.225773411,0.364925548,0.814995481,0.395976187,0.523640714,0.929849427
1035,0.002772357,0.047927552,-0.421355245,-0.185942967,-1.643626258,-1.496547479,-2.035294764,-1.249444138,-0.280935448,0.002774463,-0.588518391,-0.364176784,sp|P32189|GLPK_HUMAN,P32189,GLPK,4,4,4,1.467078584,0.168564464,-1.29851412,0.000403084,0.554363124,0.000312665,0.005493014,0.689728556,0.018415425
1036,-3.323648488,-2.912414391,-3.567105307,-3.017585688,-2.32389804,-2.358792472,-2.638710492,-1.640581443,-1.832665175,-1.651814772,-1.821462972,-0.063618539,sp|P32246|CCR1_HUMAN,P32246,CCR1,1,3,3,-0.964692857,-1.862798104,-0.898105247,0.01114582,0.001465961,0.067778531,0.053794062,0.01216855,0.323975785
1037,-3.629609582,-1.095376191,-3.868215592,-3.213225197,-3.439918321,-0.076069469,-4.463960563,-3.864575966,-1.085403566,0.137544552,-0.929182472,-0.568752204,sp|P32248|CCR7_HUMAN,P32248,CCR7,1,1,2,0.009524439,-2.340158218,-2.349682657,0.992236515,0.002627066,0.027245908,0.995100112,0.017257191,0.216657966
1038,-3.251375486,-4.364851382,-4.190419281,-4.036121675,-0.909430433,-1.357021354,-0.989338463,-0.825840039,-0.907969617,-0.946646096,-1.806650174,-2.070967547,sp|P32249|GP183_HUMAN,P32249,GP183,0,3,2,-2.940284384,-2.527633597,0.412650787,4.00E-06,6.68E-05,0.208822126,0.000421181,0.001697485,0.511948762
1039,0.388309585,-0.895747642,-1.058414708,-1.169215318,-3.411961616,-4.610548496,0.496116029,-3.358377247,-3.466597916,-3.937879684,-4.519793279,0.391540706,sp|P32320|CDD_HUMAN,P32320,CDD,2,1,1,2.037425812,2.199415522,0.161989711,0.059126494,0.041470447,0.906869484,0.16114868,0.116503342,0.963133086
1040,-2.633023657,-3.601770335,-3.656268009,-3.3747528,-1.993839258,-2.909978633,-0.56623762,-2.623466445,-3.108303984,-2.627846464,-3.616206805,-3.902722289,sp|P32321|DCTD_HUMAN,P32321,DCTD,0,2,0,-1.293073211,-0.002683815,1.290389396,0.029950655,0.994443017,0.037485529,0.102283333,0.996163011,0.248118503
1041,4.43226206,4.444331034,3.204657346,3.12925429,-0.610750781,0.180816145,-0.665756957,-0.676707207,-0.368358921,-0.029248388,-0.320861235,-0.568993306,sp|P32455|GBP1_HUMAN,P32455,GBP1,4,4,4,4.245725882,4.124491645,-0.121234238,1.46E-06,8.80E-07,0.629000522,0.000230187,0.000117666,0.831726337
1042,0.874913562,1.589882426,-0.123504297,-0.5717697,-2.04649265,-2.252209167,-2.119078023,-1.890055032,-1.273291874,-1.651191132,-1.160054222,-0.923821486,sp|P32456|GBP2_HUMAN,P32456,GBP2,4,4,4,2.519339216,1.694470176,-0.824869039,0.000277869,0.004579443,0.002804288,0.004216571,0.025625707,0.065843933
